estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
F,LA GUAJIRA,Estrato 3,66,71,62,69,77,339
F,VALLE,Estrato 4,58,54,63,62,74,302
M,VALLE,-,67,59,64,59,64,312
M,VALLE,Estrato 1,60,61,63,64,53,307
F,ATLANTICO,Estrato 5,72,72,68,74,99,368
F,VALLE,Estrato 6,71,71,76,66,80,358
F,VALLE,Estrato 4,60,69,64,57,68,315
M,VALLE,Estrato 2,47,51,56,45,48,248
F,VALLE,Estrato 4,64,54,58,61,58,296
F,BOGOTA,Estrato 3,58,55,54,63,82,297
M,ANTIOQUIA,Estrato 6,57,69,68,54,85,319
F,RISARALDA,Estrato 6,65,64,55,59,76,310
F,VALLE,Estrato 2,60,52,56,42,52,262
F,BOGOTA,Estrato 4,59,56,56,56,76,291
F,ATLANTICO,Estrato 6,57,56,56,53,72,284
M,ANTIOQUIA,Estrato 4,65,61,68,66,84,332
M,BOGOTA,Sin Estrato,61,53,49,62,73,288
M,ATLANTICO,Estrato 5,57,62,62,59,73,305
M,VALLE,Estrato 4,56,62,60,57,68,297
M,VALLE,Estrato 3,55,47,40,50,49,240
F,VALLE,Estrato 5,80,81,82,72,84,396
M,ATLANTICO,Estrato 1,59,71,59,64,84,324
F,ANTIOQUIA,Estrato 6,62,64,61,57,82,313
F,BOGOTA,Estrato 6,60,69,66,56,93,325
M,ATLANTICO,Estrato 4,65,73,68,66,82,345
F,VALLE,Estrato 5,48,42,51,47,60,240
F,VALLE,Estrato 6,64,76,70,74,90,362
M,BOGOTA,Estrato 5,51,67,67,49,69,297
F,VALLE,Estrato 3,41,36,44,30,36,188
M,BOGOTA,Estrato 6,76,82,79,75,100,398
M,VALLE,Estrato 3,56,58,51,51,49,268
F,VALLE,Estrato 2,45,45,53,48,55,242
M,BOGOTA,Estrato 6,71,71,78,72,85,370
F,VALLE,-,56,46,60,59,63,279
M,VALLE,Estrato 3,53,54,60,60,66,287
M,VALLE,Estrato 3,66,67,76,67,76,348
F,BOGOTA,Estrato 6,63,62,53,57,78,301
F,NARIÑO,Estrato 3,50,52,55,50,52,259
F,VALLE,Estrato 4,66,58,68,67,77,328
M,BOGOTA,Estrato 6,65,68,73,66,81,345
F,VALLE,Estrato 4,56,43,50,55,60,258
F,BOGOTA,Estrato 6,61,63,65,64,80,323
M,VALLE,Estrato 4,69,69,66,68,75,343
M,VALLE,Estrato 3,46,55,47,42,47,237
F,VALLE,Estrato 2,65,58,61,61,60,306
F,VALLE,Estrato 2,61,58,66,61,56,305
M,VALLE,Estrato 3,64,64,58,62,57,308
M,VALLE,Estrato 3,80,66,77,82,100,390
M,ANTIOQUIA,Estrato 6,70,74,77,76,82,374
M,CAUCA,Estrato 2,71,66,71,65,40,330
M,BOGOTA,Estrato 3,69,65,70,68,83,346
F,NARIÑO,Estrato 2,53,57,52,52,58,269
M,BOGOTA,Estrato 6,66,69,73,69,85,352
M,CUNDINAMARCA,Estrato 4,65,64,63,71,77,333
M,ANTIOQUIA,Estrato 6,80,89,72,79,97,407
F,ATLANTICO,Estrato 6,72,69,69,66,86,352
M,VALLE,Estrato 6,63,51,47,65,69,287
F,VALLE,Estrato 4,72,70,77,75,73,367
F,BOGOTA,Estrato 5,65,57,57,62,74,307
M,VALLE,Estrato 5,65,66,63,63,63,321
M,VALLE,Estrato 4,65,75,74,70,61,351
F,VALLE,Estrato 3,57,55,59,57,47,281
M,VALLE,Estrato 3,53,65,56,47,48,273
F,VALLE,Estrato 3,58,58,65,64,70,310
F,CAUCA,Estrato 5,62,63,69,63,72,324
F,VALLE,Estrato 3,77,81,76,77,100,397
M,VALLE,Estrato 3,53,57,56,55,54,276
F,ANTIOQUIA,Estrato 6,63,64,63,63,84,324
M,VALLE,Estrato 5,58,57,61,62,73,303
F,CAUCA,Estrato 3,68,58,68,69,63,328
F,VALLE,Estrato 2,57,54,51,55,71,278
F,BOGOTA,Estrato 5,69,73,67,62,83,345
M,CUNDINAMARCA,Estrato 6,64,66,64,68,76,332
F,VALLE,Estrato 2,56,44,50,54,62,259
M,VALLE,Estrato 3,59,61,57,65,57,301
M,ANTIOQUIA,Estrato 6,58,65,62,54,56,297
F,BOGOTA,Estrato 6,64,74,61,63,89,337
F,BOGOTA,Estrato 6,71,77,76,73,94,379
F,VALLE,Estrato 3,54,57,56,61,57,285
F,VALLE,Estrato 4,60,51,60,60,67,292
M,BOGOTA,Estrato 6,58,67,63,62,78,318
M,VALLE,Estrato 6,49,44,46,49,60,240
M,VALLE,Estrato 5,66,71,71,70,92,356
M,VALLE,Estrato 6,64,57,63,66,86,322
M,VALLE,Estrato 3,50,44,54,47,28,236
F,VALLE,Estrato 3,63,68,63,62,68,322
M,VALLE,Estrato 4,50,47,46,50,62,247
M,BOGOTA,Estrato 6,47,41,52,50,49,238
F,CESAR,Estrato 5,58,62,61,63,82,313
F,BOGOTA,Estrato 5,72,68,75,77,92,372
F,VALLE,Estrato 3,41,17,45,30,42,170
F,VALLE,-,55,48,57,58,61,275
F,ATLANTICO,Estrato 4,68,59,65,64,93,331
F,VALLE,Estrato 2,58,49,62,55,67,284
F,VALLE,Estrato 1,69,66,65,75,56,339
M,VALLE,Estrato 4,73,61,70,66,82,343
F,VALLE,Estrato 3,53,45,56,50,56,257
M,VALLE,-,42,50,46,51,58,240
F,VALLE,Estrato 5,69,72,60,63,70,332
F,CAUCA,Estrato 4,48,44,50,51,46,240
F,BOGOTA,Estrato 5,71,69,74,64,88,355
M,ANTIOQUIA,Estrato 5,70,71,67,69,81,351
F,BOLIVAR,Estrato 4,51,54,52,55,74,273
M,VALLE,Estrato 3,61,59,61,59,77,307
F,ANTIOQUIA,Estrato 5,78,75,74,82,82,388
M,VALLE,Estrato 2,53,45,49,54,40,247
F,BOGOTA,Estrato 6,65,72,61,68,87,340
M,MAGDALENA,Estrato 6,61,75,67,66,74,339
M,BOGOTA,Estrato 4,80,86,72,75,82,393
F,BOGOTA,Estrato 6,69,78,72,74,85,371
F,VALLE,Estrato 3,70,62,63,71,26,317
F,CAUCA,Estrato 2,62,63,68,60,84,324
M,ATLANTICO,Estrato 4,63,69,65,69,76,336
M,BOGOTA,Estrato 5,62,67,61,69,81,330
M,VALLE,Estrato 2,55,48,45,49,48,246
F,BOGOTA,Estrato 3,75,78,78,81,81,391
F,BOGOTA,Estrato 3,50,47,53,51,59,255
F,VALLE,Estrato 6,57,64,58,63,60,302
F,BOGOTA,Estrato 5,67,54,56,56,76,298
F,BOGOTA,Estrato 5,74,83,82,81,86,402
F,BOGOTA,Estrato 4,67,70,77,66,96,360
M,BOGOTA,Estrato 5,71,77,67,74,77,363
M,VALLE,Estrato 5,54,56,45,52,47,257
F,VALLE,Estrato 4,73,75,72,74,70,366
M,VALLE,-,62,48,54,63,65,287
F,CAUCA,Estrato 4,65,59,54,61,72,303
F,VALLE,Estrato 2,52,47,57,50,64,262
F,VALLE,Estrato 3,50,50,52,53,59,259
F,ATLANTICO,Estrato 5,66,70,71,67,87,350
M,VALLE,Estrato 2,46,50,52,42,39,234
M,BOGOTA,Estrato 6,71,72,66,68,78,350
M,VALLE,Estrato 2,40,29,40,40,30,183
F,ATLANTICO,Estrato 4,68,68,69,64,84,343
F,SANTANDER,Estrato 6,58,69,70,64,76,330
F,VALLE,-,69,58,63,61,55,311
M,BOLIVAR,-,62,64,63,54,78,310
F,BOGOTA,Estrato 5,73,73,65,73,82,359
M,VALLE,Estrato 5,62,68,66,66,69,329
F,VALLE,Estrato 4,74,53,59,66,73,319
F,CUNDINAMARCA,Estrato 3,75,70,71,71,96,368
F,BOGOTA,Estrato 4,75,72,76,100,88,407
M,RISARALDA,Estrato 5,71,67,68,69,78,347
M,BOGOTA,Estrato 5,64,65,66,70,85,338
M,BOGOTA,Estrato 5,69,76,81,77,78,380
F,BOGOTA,Estrato 6,71,67,69,62,78,340
M,ATLANTICO,Estrato 4,63,81,74,62,74,352
M,VALLE,Estrato 2,48,41,39,48,42,219
F,VALLE,Estrato 3,79,83,73,72,86,387
F,CAUCA,Estrato 4,55,63,43,57,44,268
